GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Email Manager,com.app,GestorContactos,3,94,0,8,1,25,1,10,1,6
Email Manager,com.app,BandejaEnviados,4,17,0,0,1,6,1,3,1,3
Email Manager,com.app,Contacto,20,41,8,2,2,18,5,7,0,7
Email Manager,com.app,BandejaDeBorradores,0,28,0,0,0,9,0,5,0,5
Email Manager,com.app,EditarContacto,0,8,0,0,0,4,0,2,0,2
Email Manager,com.app,BandejaEliminados,0,3,0,0,0,1,0,1,0,1
Email Manager,com.app,Borradores,2,54,1,1,1,13,1,7,0,7
Email Manager,com.app,Usuario,0,80,0,4,0,19,0,7,0,5
Email Manager,com.app,BandejaRecibidos,106,70,9,1,26,16,12,9,7,9
Email Manager,com.app,Correo,31,61,0,0,10,24,1,12,1,12
